simulation_id,traditional_total,blockchain_total,difference,blockchain_wins,traditional_transparency,traditional_liquidity,traditional_systemic_risk,traditional_governance,traditional_auditing,traditional_interoperability,blockchain_transparency,blockchain_liquidity,blockchain_systemic_risk,blockchain_governance,blockchain_auditing,blockchain_interoperability
5,372.4908129088293,242.29050972670848,-130.20030318212082,False,100.0,26.508718512463396,35.18768885095615,72.90497073840416,43.85722446796244,94.03221033904316,39.804425533043144,95.31551373841839,0.0,54.97284272846845,22.82632308789556,29.371404638882936
10,270.53694689570443,351.38907113615505,80.85212424045062,True,100.0,42.6741031550512,17.84225514477704,43.85722446796244,5.967789660956835,60.195574466956856,73.79954057320357,95.31827587096866,0.0,89.80223766765113,29.371404638882936,63.09761238544878
12,440.8308975445625,242.29050972670848,-198.54038781785403,False,100.0,94.84880314819658,35.18768885095615,72.90497073840416,43.85722446796244,94.03221033904316,39.804425533043144,95.31551373841839,0.0,54.97284272846845,22.82632308789556,29.371404638882936
7,229.35440738051471,302.9473412187059,73.59293383819119,True,61.7740795137361,8.606235189040417,5.35899231073941,58.59365525622129,62.490350209559985,32.531094901217514,84.23424376202573,91.9422296057877,0.0,95.56785192394288,15.895964414472274,15.30705151247731
1,286.15837638785655,287.5802029397056,1.4218265518490512,True,96.59091566878786,60.17358698347558,24.56336401918773,6.505159298527952,94.88855372533332,3.436796692544064,80.83973481164611,94.40152493739602,3.798543660174488,35.383926043608355,54.67102793432797,18.485445552552704
17,312.56544913201856,228.08359050512902,-84.48185862688953,False,68.2281954466653,98.61224213903655,0.0,62.490350209559985,67.46890509878249,15.765756237974273,8.319498833243877,95.72456957491472,0.0,39.179517707402034,15.30705151247731,69.55295287709109
4,369.28383299003923,242.29050972670848,-126.99332326333075,False,100.0,23.30173859367333,35.18768885095615,72.90497073840416,43.85722446796244,94.03221033904316,39.804425533043144,95.31551373841839,0.0,54.97284272846845,22.82632308789556,29.371404638882936
2,205.4602845984781,354.20250132214636,148.74221672366826,True,100.0,13.872302541836193,0.0,19.59828624191452,4.522728891053807,67.46696692367357,38.8677289689482,92.80934509687381,5.955966018542782,64.33758400753646,81.54614284548342,70.68573438476172
14,296.8777467704574,351.38907113615505,54.51132436569765,True,100.0,69.01490302980417,17.84225514477704,43.85722446796244,5.967789660956835,60.195574466956856,73.79954057320357,95.31827587096866,0.0,89.80223766765113,29.371404638882936,63.09761238544878
9,293.4177238823018,311.156602676611,17.738878794309187,True,71.4270030009693,50.68544298126037,33.74723271246583,42.63513069628082,89.33891631171348,5.583998179612038,50.18366758843366,94.1482621195363,0.0,52.01185948090182,60.30601284109274,54.50680064664649
